"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","COMMENT","MANUFACTURER","MANUFACTURER P/N","MANUFACTURER PN","NOTE","SUPPLIER","SUPPLIER P/N","SUPPLIER PN","SHEETPART","DESIGNATOR","DESCRIPTION"
"NANO_CONN-8","NANO_CONN-8","","","="Manufacturer PN"","Omnetics","","A79613-001","","","","","","CO?","Omnetics connector"
"NC7WP14","micropak","","","*","","","","","","","","*","U?","IC"
"NCD2100","DFN-6 - ixys","","","NCD2100","","","","","","","","","U?","Programmable capacitor"
"NM","NM","NMv2","","NM","","","","","","","","","U?","Neuromodulator"
"NPD-34-VV-GS","NPD-34-VV-GS","","","*","","","","","","","","*","*","Omnetics connector for Mario"
"NSD-34-VV-GS","NSD-34-VV-GS","","","NSD-34-VV-GS","Omnetics","","A79051-001","","Omnetics","","A79051-001","*","CO*","Omnetics connector for Mario"
"NSD-36-VV-GS","NSD-36-VV-GS","","","NSD-36-VV-GS","Omnetics","","","","Omnetics","","","*","CO*","Omnetics connector for Mario"
"SMD_5_LEAD","CONN_SWD_5","","","SMD_5_LEAD","","","","Solder pads only","","","","","CO?",""
"SMD_6_LEAD","PWD_CON_6","","","SMD_6_LEAD","","","","Solder pads only","","","","","CO?",""
"SMD_8_LEAD","CONN_SWD_8","","","SMD_8_LEAD","","","","Solder pads only","","","","","CO?",""
"SWD_6_F-Nor","CONN_6-CLP","","","","*","","*","","Digikey","","*","","CO","6 pin female SWD header for Nordic"
"SWD_6_M-Nor","CONN_6-FTSH","CONN_6-FTSH - flipped","","","*","","*","","Digikey","","*","","CO","6 pin male SWD header for Nordic"
"SWD_CONNECTOR","SWDCON","","","*","","","","","","","","*","J?",""
"SWITCH_SPST","SWITCH_SPST_CHS-01TB","SWITCH_SPST_CHS-01TA","","SWITCH_SPST","","","","","","","","","SW?",""
"TPS62237","DRY - ti","","","="Manufacturer PN"","TI","","TPS62237DRYR","3.3v buck converter","Digikey","","296-39454-1-ND","*","U?","3.3v DC-DC"
"TPS62260DRVR","TPS_PACKAGE_novia","","","="Manufacturer PN"","TI","","TPS62260TDRVRQ1","adjustable buck converter","Digikey","","296-36823-1-ND","*","U?","adjustable DC-DC"
"TPS62260DRYR","TPS_PACKAGE_novia","SOT23-5","","="Manufacturer PN"","TI","","TPS62260TDDCRQ1","adjustable buck converter","Digikey","","296-40842-1-ND","*","U?","adjustable DC-DC"
"TPS62261","TPS_PACKAGE_novia","","","="Manufacturer PN"","TI","","TPS62261TDRVRQ1","1.8v buck converter","Digikey","","296-25729-1-ND","*","U?","1.8v DC-DC"
"TPS62262","TPS_PACKAGE_novia","","","="Manufacturer PN"","TI","","TPS62262TDRVRQ1","1.2v buck converter","Digikey","","296-25730-1-ND","*","U?","1.2v DC-DC"
"TPS62263","TPS_PACKAGE_novia","","","="Manufacturer PN"","TI","","TPS62263TDRVRQ1","2.5v buck converter","Digikey","","296-25731-1-ND","*","U?","2.5v DC-DC"
"TXB0101","YZP6-ti","","","TXB0101","TI","","TXB0101YZPR","","Digikey","","296-21927-1-ND","","U?","Single level converter"
"TXB0102","YZP8-ti","VSSOP8 - ti","","TXB0102","TI","","TXB0102YZPR","","Digikey","","296-21961-1-ND","","U?","Dual level converter"
"TXB0102-VSSOP","VSSOP8 - ti","","","TXB0102-VSSOP","","","","","","","","","U?","Dual level converter"
"USB-microB","USB-microB_amp_10118194-0001LF","","","USB micro-B","Amphenol","","10118194-0001LF","","Digikey","","609-4618-1-ND","","CO?","USB micro-B connector"
"XOSC","XOSC_4PIN","","","="Manufacturer PN"","NDK","","","","Digikey","","","*","Y?",""
"nRF51822","BGA_NORDIC","","","="Manufacturer PN"","Nordic","","NRF51822-CFAC-R","","Digikey","","1490-1041-1-ND","*","U?","IC"
